abstract,alien,android,animal,ape,bear,bird,blob,bug,bull,bunny,cat,circle,comet,crab,creature,cyclops,dark,dog,ears,emoji,eyes,face,flower,food,fox,frog,ghost,hat,heart,helmet,highContrast,holes,horns,human,id,idk,image,invader,jellyfish,light,link,lowContrast,mammal,mask,minimal,mouse,mouth,name,nose,object,ogre,other,panda,plant,reptile,robot,shape,skeleton,skull,slime,smiley,spaceship,square,tool,transformer,triangle,twoTone,upsidedown,xSymmetrical,zombie
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,https://lh3.googleusercontent.com/8NUq2tTRHThZVoisSrpK7BorHv5MGa7WlOcXuvl8nfWeIGdydahnluPXWOkxfoJq5n72RgMGsv_RScjKmEbNH7nZMVqy9mM3L3GjYw,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/1,0,0,0,0,0,0,Genesis,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,https://lh3.googleusercontent.com/WExwmjUyOP5KZztfGqbwgTZiYAUC-oVYdjCh8X0xn8pgu6FetZj8jFkfcAVpqdZAx_NXufArhDVT_HL1uxeu1LQQ9gn83dPaGDtMSg,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/10,0,0,0,0,0,0,Pixelglyph #00010,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,https://lh3.googleusercontent.com/yVvd-f7EEssCmGI7d9M6LAEgXevl5ADXKAvllnpKq1GEupUyJ82-b3D6WLcnrFE5fdAAWzg6G7EYCXLtHdKtmie2f-1ln4avfJBF,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/100,0,0,0,0,0,0,Pixelglyph #00100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,https://lh3.googleusercontent.com/g-uYO6Q7qoVGaaWODj8uRB-6D-tV2jPJNsSY3kitbl_93POVdK1KMypDuEMaAzvym3r7LSRQKwMr0CfxO_pUSnJPu13lRiGrIZ3vjQ,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/1000,0,0,0,0,0,0,Pixelglyph #01000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,10000,0,https://lh3.googleusercontent.com/1CNSERZ-ucH-qHQ0X_qsongsNCrysPWfkOAueQ8WwWQ2c29dSRuMElZ7OMCVpXYJyI52z3MyQSeISuhAWw5ejReyPYuL5mA57qpsEg,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/10000,0,0,0,0,0,2,Omega,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,https://lh3.googleusercontent.com/TRHjEvoy8poKMNia4S2AXohiPY7tdKjTEIyu-cu8Rksf3kDGrJmWwyCI-3EvLp3i2n3hjPg98KeOgm9djoMx7H-1qQGQu4zpskgc,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/1001,0,0,0,0,0,0,Pixelglyph #01001,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,https://lh3.googleusercontent.com/lyHOfqw_ydgshkPAqxUT2PaSBpBIsieqEtL8XJKRP56ryMnz_bDNgu_gYOMHE-qDQlx6MnFkADLodEyUoyInkd7m1bVpGsSgNkqVMw,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/1002,0,0,0,0,0,0,Pixelglyph #01002,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,https://lh3.googleusercontent.com/sPuksoYFbHQgQoe1Ui_rJ3p-8sXFVFts9m1SNLmZod8EvubVjQ1LbokUzrY9AwwevmRu_kV8mwDvgFsm6l255BiY4irT0BD4IIcbiQ,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/1003,0,0,0,0,0,0,Pixelglyph #01003,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,https://lh3.googleusercontent.com/auS7cZqpO9Ey5-BY7Cd4cm6JmHBTXVuRV1f1b3AFRKf6lh8GldrBCQPjIzenmqvuCw9zuvzXMU5Hvs66SStrtAy4LN15naJ55i00Gg,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/1004,0,0,0,0,0,0,Pixelglyph #01004,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,https://lh3.googleusercontent.com/mxayqHjo_XjNPvDIvVW2JNfbd6pbavf9RWdnjNeHDsVxlqv-bpHfsYRUKctectqBP2cenwDvJuJbD4Hb8cpVeQDYTfdCLgbMFPfjXQE,0,0,0,https://opensea.io/assets/0xf38d6bf300d52ba7880b43cddb3f94ee3c6c4ea6/1005,0,0,0,0,0,0,Pixelglyph #01005,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
